genera,Pseudomonas,Bacillus,Thiobacillus,Paenibacillus
Sbtot,6.624442608,8.856156105,16.41603101,16.41603101
Sbexe,5.145862469,0,8.566009155,8.566009155
Sbsrp,11.07757827,8.913263083,11.15063346,11.15063346
Sb(III),16.95886243,4.24675979,12.78980215,12.78980215
Sb(V),14.58192128,5.367841503,13.61160462,13.61160462
Astot,9.75926026,0.33490004,5.498080323,5.498080323
Asexe,11.94733972,4.940369178,13.54660169,13.54660169
Assrp,13.53143633,0,12.33713312,12.33713312
As(III),0.104561942,0,16.05140987,16.05140987
As(V),17.60369085,0.732732439,13.12601775,13.12601775
